* Sea-Bird SBE 9 Data File:
* FileName = C:\CTD0412\tee3.dat
* Software Version Seasave Win32 V 5.29a
* Temperature SN = 2475
* Conductivity SN = 1373
* Number of Bytes Per Scan = 24
* Number of Voltage Words = 4
* Number of Scans Averaged by the Deck Unit = 1
       1660     49.353     49.000    17.1271   4.415652    3.17597    34.2264     0.1552  1025.1079    1513.14 0.0000e+00
       1693     50.366     50.000    17.1575   4.421129    3.14346    34.2483     0.1583  1025.1215    1513.28 0.0000e+00
       1744     51.386     51.000    17.2036   4.430780    3.09719    34.2914     0.1614  1025.1488    1513.48 0.0000e+00
       1776     52.386     52.000    17.2079   4.431590    3.08031    34.2949     0.1644  1025.1545    1513.51 0.0000e+00
       1817     53.402     53.000    17.2135   4.432540    3.06618    34.2969     0.1675  1025.1600    1513.55 0.0000e+00
       1846     54.408     54.000    17.2166   4.432945    3.05627    34.2983     0.1706  1025.1640    1513.58 0.0000e+00
       1869     55.413     55.000    17.2274   4.434646    3.04424    34.3040     0.1736  1025.1699    1513.63 0.0000e+00
       1893     56.416     56.000    17.2338   4.436637    3.01954    34.3148     0.1767  1025.1815    1513.68 0.0000e+00
       1923     57.424     57.000    17.2293   4.442741    2.97259    34.3714     0.1797  1025.2301    1513.75 0.0000e+00
       1964     58.432     58.000    17.1922   4.446983    2.91991    34.4392     0.1827  1025.2956    1513.73 0.0000e+00
       2020     59.450     59.000    17.1659   4.448982    2.86659    34.4787     0.1856  1025.3366    1513.72 0.0000e+00
       2048     60.459     60.000    17.1642   4.450553    2.84701    34.4933     0.1885  1025.3527    1513.74 0.0000e+00
       2067     61.454     61.000    17.1655   4.451893    2.83697    34.5035     0.1914  1025.3646    1513.78 0.0000e+00
       2086     62.462     62.000    17.1652   4.452430    2.82819    34.5078     0.1943  1025.3726    1513.80 0.0000e+00
       2109     63.464     63.000    17.1647   4.452819    2.82169    34.5116     0.1972  1025.3798    1513.82 0.0000e+00
       2157     64.486     64.000    17.1606   4.453049    2.81002    34.5165     0.2001  1025.3892    1513.83 0.0000e+00
       2194     65.496     65.000    17.1521   4.452990    2.80355    34.5227     0.2030  1025.4005    1513.83 0.0000e+00
       2216     66.491     66.000    17.1527   4.453080    2.81644    34.5230     0.2059  1025.4046    1513.84 0.0000e+00
       2249     67.499     67.000    17.1197   4.450840    2.82973    34.5311     0.2087  1025.4235    1513.77 0.0000e+00
       2294     68.526     68.000    16.6611   4.401878    2.86470    34.5002     0.2117  1025.5106    1512.37 0.0000e+00
       2314     69.529     69.000    16.2747   4.365006    2.87039    34.5055     0.2144  1025.6120    1511.22 0.0000e+00
       2330     70.527     70.000    16.1407   4.352097    2.86278    34.5103     0.2170  1025.6485    1510.83 0.0000e+00
       2347     71.517     71.000    15.9604   4.334637    2.87471    34.5089     0.2196  1025.6952    1510.29 0.0000e+00
       2405     72.548     72.000    15.6021   4.296725    2.96612    34.4781     0.2224  1025.7603    1509.16 0.0000e+00
       2451     73.564     73.000    14.6804   4.194357    3.01066    34.3684     0.2251  1025.8779    1506.13 0.0000e+00
       2465     74.559     74.000    13.5375   4.074555    3.01508    34.3018     0.2274  1026.0515    1502.34 0.0000e+00
       2481     75.556     75.000    12.3963   3.970065    3.02965    34.3133     0.2296  1026.3157    1498.59 0.0000e+00
       2503     76.557     76.000    11.7565   3.912078    3.05136    34.3390     0.2316  1026.4620    1496.46 0.0000e+00
